course, description, section, crn, slot, daysOfWeek, startTime, endTime, location
BUSI5720,Data Management ,001,20434,20,TR,1530,1645,BN3010,
FOLK1000,Intro To Folklore ,001,95928,3,MWF,1000,1050,A1043,
FOLK1000,Intro To Folklore ,002,99956,18,TR,1030,1145,ED1014,
FOLK2100,Folklore Research Methods ,001,84744,18,TR,1030,1145,ED4008,
FOLK2401,Folklife Studies ,001,67586,17,TR,0900,1015,ED4011,
FOLK3100,Fictional Worlds: The Folkt ,001,99757,19,TR,1400,1515,ED4011,
FOLK3850,Material Culture ,001,99759,4,MWF,1100,1150,ED4015,
FOLK4470,Spaces and Places ,001,95933,7,MWF,1400,1450,ED4015,
FREN1500,Intro University French I ,001,64587,3,MWF,1000,1050,SN2041,
FREN1500,Intro University French I ,002,64590,4,MWF,1100,1150,C4002,
FREN1500,Intro University French I ,003,70985,5,MWF,1200,1250,C4036,
FREN1500,Intro University French I ,004,98754,7,MWF,1400,1450,A1045,
FREN1501,Intro University French II ,002,64593,3,MWF,1000,1050,ED4015,
FREN1501,Intro University French II ,003,64595,4,MWF,1100,1150,SN4073,
FREN1501,Intro University French II ,004,64596,5,MWF,1200,1250,SN3042,
FREN1501,Intro University French II ,056,64592,G35,TR,1900,2015,SN4073,
FREN1502,Intro University French III ,001,64608,3,MWF,1000,1050,C2033,
FREN1502,Intro University French III ,002,64610,18,TR,1030,1145,SN2041,
FREN1502,Intro University French III ,003,86572,19,TR,1400,1515,SN4073,
FREN2100,Intermediate French I ,001,66317,3,MWF,1000,1050,EN1052,
FREN2100,Intermediate French I ,002,92246,8,MWF,1500,1550,SN2041,
FREN2101,Intermediate French II ,001,90968,6,MTR,1300,1350,SN4073,
FREN2101,Intermediate French II ,002,92836,3,MWF,1000,1050,SN4073,
FREN2300,Phonetics ,001,92803,20,TR,1530,1645,SN4063,
FREN2601,Grammar & Reading ,001,95246,11,MW,1030,1145,ED4011,
FREN2602,Reading Practice ,001,96797,19,TR,1400,1515,A3020,
FREN2900,Survey Francophone Cultures ,001,90972,17,TR,0900,1015,SN4073,
FREN3100,Grammar & Textual Analysis ,001,80943,5,MWF,1200,1250,SN3060,
FREN3101,Stylistics & Textual Analys ,001,98855,5,MWF,1200,1250,SN4068,
FREN3500,Intro Prose Lit French ,001,98173,20,TR,1530,1645,SN4068,
FREN3506,French Cinema ,056,99940,30,M,1900,2130,A1046,
FREN4620,Literary Movement II ,001,99941,13,MW,1400,1515,C2026,
FREN4640,Literary Genre II ,001,99942,14,MW,1530,1645,SN4063,
FREN4811,Le Roman Hist au XXe Siecle ,001,96685,16,TR,1200,1250,SN4073,
GNDR1000,Introduction to Gender Stud ,001,94079,10,MW,0900,1015,ED2003,
GNDR1000,Introduction to Gender Stud ,002,97592,11,MW,1030,1145,ED2003,
GNDR1005,CRW: Identities & Differenc ,001,90167,13,MW,1400,1515,SN4068,
GNDR1005,CRW: Identities & Differenc ,002,99173,18,TR,1030,1145,SN2067,
GNDR2006,Gender & Sexualities ,001,99983,19,TR,1400,1515,SN3042,
GNDR2010,Global Masculinities ,001,90413,12,MW,1230,1345,SN3058,
GNDR3001,Mediev/Early Mod Women Writ ,001,99923,18,TR,1030,1145,C4011,
GNDR3025,Gndr Race Post-Col Global C ,001,99989,13,MW,1400,1515,SN4073,
ARCH1005,CRW Indigenous Studies ,001,89260,4,MWF,1100,1150,A2071,
ARCH2450,Principles of Archlgcl Scie ,001,97584,13,MW,1400,1515,QC2013,
ARCH3290,First Peoples of NL & Lab ,001,98672,14,MW,1530,1645,QC2013,
ARCH3525,Indigenous History from 176,001,92789,14,MW,1530,1645,A1049,
ARCH3651,Arch of Explor/Inter/Settle ,001,99728,11,MW,1030,1145,QC2013,
ARCH3682,Studies Archaeology & Prehi ,001,99730,45,F,0900,1150,C3053,
ARCH3688,Coastal Archaeology ,001,99732,23,TR,1230,1345,QC2013,
ARCH4411,Archaeological Theory ,001,70957,18,TR,1030,1145,QC2013,
ENGL1020,Writing Second Lang Stdnts ,001,91117,11,MW,1030,1145,ED2002,
ENGL1020,Writing Second Lang Stdnts ,002,99872,19,TR,1400,1515,SN2041,
